material,process,sub_process,power,velocity,hatch_spacing,melt_pool_depth,melt_pool_width,melt_pool_length,depth_over_length,depth_over_width,length_over_width,energy_joules_over_mm,energy_joules_over_mm_cubed,layer_thickness,beam_diameter,absorption_coefficient,absorption_coefficient_2,density,specific_heat_capacity,k,melting_temperature,minimal_absorptivity,melt_pool_shape,spatter,weight_percent_Y,weight_percent_Zn,weight_percent_Mg,weight_percent_Si,weight_percent_Al,weight_percent_Sn,weight_percent_Zr,weight_percent_W,weight_percent_Ti,weight_percent_V,weight_percent_Co,weight_percent_Cu,weight_percent_Ta,weight_percent_Nb,weight_percent_Ni,weight_percent_Cr,weight_percent_Fe,weight_percent_Mn,weight_percent_Mo,D10,D50,D90,paper_id,paper_url,porosity,relative_density,comments,
Ti-6Al-4V,PBF,SLM,280,1200,40,84,,,2.8,,,0.2333333333,194,30,100,0.1984079567,,4470.5,561.5,7.2,1922,0.26,desirable,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,1,https://www.sciencedirect.com/science/article/pii/S2214860420309246,,,,1649
Ti-6Al-4V,PBF,SLM,370,1000,240,105,,,3.5,,,0.37,51,30,100,0.3146705119,,4470.5,561.5,7.2,1922,0.26,,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,1,https://www.sciencedirect.com/science/article/pii/S2214860420309246,,,,1649
Ti-6Al-4V,PBF,SLM,50,500,101.010101,16,68,,0.5333333333,0.2352941176,,0.1,33,30,30,0.9449441229,0.2434057667,4470.5,561.5,7.2,1922,0.26,LOF,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,2,https://link.springer.com/article/10.1007/s40964-017-0030-2,24,,,1649
Ti-6Al-4V,PBF,SLM,50,750,101.010101,12,50,,0.4,0.24,,0.06666666667,22,30,30,0.6299627486,0.194242897,4470.5,561.5,7.2,1922,0.26,LOF,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,2,https://link.springer.com/article/10.1007/s40964-017-0030-3,45,,,1649
Ti-6Al-4V,PBF,SLM,50,1000,104.1666667,10,48,,0.3333333333,0.2083333333,,0.05,16,30,30,0.4725109193,0.2304452187,4470.5,561.5,7.2,1922,0.26,LOF,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,2,https://link.springer.com/article/10.1007/s40964-017-0030-4,55,,,1649
Ti-6Al-4V,PBF,SLM,50,1200,106.8376068,5,45,,0.1666666667,0.1111111111,,0.04166666667,13,30,30,0.393707289,0.2395988412,4470.5,561.5,7.2,1922,0.26,balling,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,2,https://link.springer.com/article/10.1007/s40964-017-0030-5,65,,,1649
Ti-6Al-4V,PBF,SLM,100,500,101.010101,45,118,,1.5,0.3813559322,,0.2,66,30,30,1.889965962,0.3398783042,4470.5,561.5,7.2,1922,0.26,desirable,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,2,https://link.springer.com/article/10.1007/s40964-017-0030-6,25,,,1649
Ti-6Al-4V,PBF,SLM,100,750,101.010101,32,98,,1.066666667,0.3265306122,,0.1333333333,44,30,30,1.260003213,0.3442601704,4470.5,561.5,7.2,1922,0.26,,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,2,https://link.springer.com/article/10.1007/s40964-017-0030-7,20,,,1649
Ti-6Al-4V,PBF,SLM,100,1000,101.010101,24,75,,0.8,0.32,,0.1,33,30,30,0.9449441229,0.2683720096,4470.5,561.5,7.2,1922,0.26,LOF,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,2,https://link.springer.com/article/10.1007/s40964-017-0030-8,6,,,1649
Ti-6Al-4V,PBF,SLM,100,1200,102.8806584,22,72,,0.7333333333,0.3055555556,,0.08333333333,27,30,30,0.7874922936,0.2934429312,4470.5,561.5,7.2,1922,0.26,LOF,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,2,https://link.springer.com/article/10.1007/s40964-017-0030-9,0,,,1649
Ti-6Al-4V,PBF,SLM,150,500,100,102,145,,3.4,0.7034482759,,0.3,100,30,30,2.834910084,0.3353594634,4470.5,561.5,7.2,1922,0.26,desirable,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,2,https://link.springer.com/article/10.1007/s40964-017-0030-10,8,,,1649
Ti-6Al-4V,PBF,SLM,150,750,101.010101,72,135,,2.4,0.5333333333,,0.2,66,30,30,1.889965962,0.4251058744,4470.5,561.5,7.2,1922,0.26,desirable,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,2,https://link.springer.com/article/10.1007/s40964-017-0030-11,0,,,1649
Ti-6Al-4V,PBF,SLM,150,1000,100,53,116,,1.766666667,0.4568965517,,0.15,50,30,30,1.417455042,0.4150355213,4470.5,561.5,7.2,1922,0.26,desirable,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,2,https://link.springer.com/article/10.1007/s40964-017-0030-12,0,,,1649
Ti-6Al-4V,PBF,SLM,150,1200,101.6260163,50,108,,1.666666667,0.462962963,,0.125,41,30,30,1.181199583,0.4291280755,4470.5,561.5,7.2,1922,0.26,,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,2,https://link.springer.com/article/10.1007/s40964-017-0030-13,5,,,1649
Ti-6Al-4V,PBF,SLM,195,500,100,176,193,,5.866666667,0.9119170984,,0.39,130,30,30,3.685429739,0.4469869214,4470.5,561.5,7.2,1922,0.26,keyhole,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,2,https://link.springer.com/article/10.1007/s40964-017-0030-14,9,,,1649
Ti-6Al-4V,PBF,SLM,195,750,100.7751938,110,162,,3.666666667,0.6790123457,,0.26,86,30,30,2.456979065,0.4657928203,4470.5,561.5,7.2,1922,0.26,,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,2,https://link.springer.com/article/10.1007/s40964-017-0030-15,2,,,1649
Ti-6Al-4V,PBF,SLM,195,1000,100,81,130,,2.7,0.6230769231,,0.195,65,30,30,1.84271487,0.398504092,4470.5,561.5,7.2,1922,0.26,desirable,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,2,https://link.springer.com/article/10.1007/s40964-017-0030-16,0,,,1649
Ti-6Al-4V,PBF,SLM,195,1200,100.308642,65,122,,2.166666667,0.5327868852,,0.1625,54,30,30,1.535582772,0.4187402528,4470.5,561.5,7.2,1922,0.26,desirable,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,2,https://link.springer.com/article/10.1007/s40964-017-0030-17,0,,,1649
AlSi10Mg,PBF,SLM,100,150,50,81,62.5,,1.35,1.296,,0.6666666667,222.2222222,60,70,2.910294228,0.1368520398,2590,910,110,1142,0.32,keyhole,,0,0,0.35,9.5,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,https://link.springer.com/article/10.1007/s00339-016-0428-6,,,,869
AlSi10Mg,PBF,SLM,100,200,50,71,51,,1.183333333,1.392156863,,0.5,166.6666667,60,70,2.182720671,0.1125694418,2590,910,110,1142,0.32,keyhole,,0,0,0.35,9.5,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,https://link.springer.com/article/10.1007/s00339-016-0428-7,,,,869
AlSi10Mg,PBF,SLM,100,250,50,61.8,41,,1.03,1.507317073,,0.4,133.3333333,60,70,1.74619208,0.09054076368,2590,910,110,1142,0.32,keyhole,,0,0,0.35,9.5,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,https://link.springer.com/article/10.1007/s00339-016-0428-8,,,,869
AlSi10Mg,PBF,SLM,100,300,50,55,32.5,,0.9166666667,1.692307692,,0.3333333333,111.1111111,60,70,1.455147114,0.07142322791,2590,910,110,1142,0.32,keyhole,,0,0,0.35,9.5,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,https://link.springer.com/article/10.1007/s00339-016-0428-9,,,,869
AlSi10Mg,PBF,SLM,100,350,50,45,28,,0.75,1.607142857,,0.2857142857,95.23809524,60,70,1.247257853,0.06156374377,2590,910,110,1142,0.32,keyhole,,0,0,0.35,9.5,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,https://link.springer.com/article/10.1007/s00339-016-0428-10,,,,869
AlSi10Mg,PBF,SLM,100,400,50,37.5,25,,0.625,1.5,,0.25,83.33333333,60,70,1.091360335,0.05507436364,2590,910,110,1142,0.32,keyhole,,0,0,0.35,9.5,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,https://link.springer.com/article/10.1007/s00339-016-0428-11,,,,869
K403 superalloy,DED,LMD,1000,6.666666667,,360,3600,,,0.1,,150,,,,,,?,?,14.27,1533,,,,0,0,0,0,0,0,0,5.2,2.1,0,5.4,0,0,0,70,11.3,0,0,4.2,,,,4,https://www.sciencedirect.com/science/article/abs/pii/S092583881932599X,,,,1260
K403 superalloy,DED,LMD,1500,6.666666667,,445,4250,,,0.1047058824,,225,,,,,,?,?,14.27,1533,,,,0,0,0,0,0,0,0,5.2,2.1,0,5.4,0,0,0,70,11.3,0,0,4.2,,,,4,https://www.sciencedirect.com/science/article/abs/pii/S092583881932599X,,,,1260
K403 superalloy,DED,LMD,2000,6.666666667,,480,4650,,,0.1032258065,,300,,,,,,?,?,14.27,1533,,,,0,0,0,0,0,0,0,5.2,2.1,0,5.4,0,0,0,70,11.3,0,0,4.2,,,,4,https://www.sciencedirect.com/science/article/abs/pii/S092583881932599X,,,,1260
K403 superalloy,DED,LMD,2500,6.666666667,,610,5450,,,0.1119266055,,375,,,,,,?,?,14.27,1533,,,,0,0,0,0,0,0,0,5.2,2.1,0,5.4,0,0,0,70,11.3,0,0,4.2,,,,4,https://www.sciencedirect.com/science/article/abs/pii/S092583881932599X,,,,1260
K403 superalloy,DED,LMD,3000,6.666666667,,625,6075,,,0.1028806584,,450,,,,,,?,?,14.27,1533,,,,0,0,0,0,0,0,0,5.2,2.1,0,5.4,0,0,0,70,11.3,0,0,4.2,,,,4,https://www.sciencedirect.com/science/article/abs/pii/S092583881932599X,,,,1260
IN625,PBF,DMLS,169,875,100,35,134,,1.75,0.2611940299,,0.1931428571,96.57,20,100,,0.492003222,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,5,https://www.sciencedirect.com/science/article/abs/pii/S0890695516303108,,96,,1320
IN625,PBF,DMLS,195,875,100,49,170,,2.45,0.2882352941,,0.2228571429,111.43,20,100,,0.6788891582,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,5,https://www.sciencedirect.com/science/article/abs/pii/S0890695516303109,,98.7,,1320
IN625,PBF,DMLS,182,875,90,45,149,,2.25,0.3020134228,,0.208,115.56,20,100,,0.5619708069,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,5,https://www.sciencedirect.com/science/article/abs/pii/S0890695516303110,,97.4,,1320
IN625,PBF,DMLS,185,725,110,48,153,,2.4,0.3137254902,,0.2551724138,114.11,20,100,,0.4869064597,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,5,https://www.sciencedirect.com/science/article/abs/pii/S0890695516303111,,96.17,,1320
IN625,PBF,DMLS,195,800,110,44,143,,2.2,0.3076923077,,0.24375,110.8,20,100,,0.4445443945,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,5,https://www.sciencedirect.com/science/article/abs/pii/S0890695516303112,,98.52,,1320
IN625,PBF,DMLS,182,725,90,45,134,,2.25,0.3358208955,,0.2510344828,139.46,20,100,,0.3825300593,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,5,https://www.sciencedirect.com/science/article/abs/pii/S0890695516303113,,97.29,,1320
IN625,PBF,DMLS,182,800,100,44,132,,2.2,0.3333333333,,0.2275,113.75,20,100,,0.4076024799,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,5,https://www.sciencedirect.com/science/article/abs/pii/S0890695516303114,,98.21,,1320
IN625,PBF,DMLS,195,725,100,52,152,,2.6,0.3421052632,,0.2689655172,134.48,20,100,,0.4560792467,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,5,https://www.sciencedirect.com/science/article/abs/pii/S0890695516303115,,97.74,,1320
IN625,PBF,DMLS,182,800,100,48,143,,2.4,0.3356643357,,0.2275,113.75,20,100,,0.4762975655,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,5,https://www.sciencedirect.com/science/article/abs/pii/S0890695516303116,,98.3,,1320
IN625,PBF,DMLS,182,875,110,47,134,,2.35,0.3507462687,,0.208,94.55,20,100,,0.4568601347,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,5,https://www.sciencedirect.com/science/article/abs/pii/S0890695516303117,,96.75,,1320
IN625,PBF,DMLS,169,725,100,51,159,,2.55,0.320754717,,0.2331034483,116.55,20,100,,0.5744620536,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,5,https://www.sciencedirect.com/science/article/abs/pii/S0890695516303118,,96.52,,1320
IN625,PBF,DMLS,169,800,90,47,154,,2.35,0.3051948052,,0.21125,117.36,20,100,,0.5926689494,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,5,https://www.sciencedirect.com/science/article/abs/pii/S0890695516303119,,97.91,,1320
IN625,PBF,DMLS,169,800,110,43,150,,2.15,0.2866666667,,0.21125,96.02,20,100,,0.563009364,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,5,https://www.sciencedirect.com/science/article/abs/pii/S0890695516303120,,96.78,,1320
IN625,PBF,DMLS,195,800,90,49,149,,2.45,0.3288590604,,0.24375,135.42,20,100,,0.4816182345,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,5,https://www.sciencedirect.com/science/article/abs/pii/S0890695516303121,,99.23,,1320
IN625,PBF,DMLS,195,800,100,50,155,,2.5,0.3225806452,,0.24375,121.88,20,100,,0.5201756956,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,5,https://www.sciencedirect.com/science/article/abs/pii/S0890695516303122,,98.86,,1320
IN625,PBF,SLM,160,2800,92,40,92,524.4,1,0.4347826087,5.7,0.05714285714,15.6,40,50,,0.762130305,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/21,,,,1320
IN625,PBF,SLM,160,2800,61,40,91.5,521.55,1,0.4371584699,5.7,0.05714285714,23.3,40,50,,0.753967013,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/22,,,,1320
IN625,PBF,SLM,160,2800,52,40,91.52,521.664,1,0.4370629371,5.7,0.05714285714,27.4,40,50,,0.7542927009,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/23,,,,1320
IN625,PBF,SLM,160,2800,46,40,92,524.4,1,0.4347826087,5.7,0.05714285714,31.1,40,50,,0.762130305,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/24,,,,1320
IN625,PBF,SLM,160,2800,37,40,92.5,527.25,1,0.4324324324,5.7,0.05714285714,38.9,40,50,,0.7703375454,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/25,,,,1320
IN625,PBF,SLM,160,2800,31,40,93,530.1,1,0.4301075269,5.7,0.05714285714,46.7,40,50,,0.7785887341,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/26,,,,1320
IN625,PBF,SLM,225,1940,265,60,132.5,755.25,1.5,0.4528301887,5.7,0.1159793814,10.9,40,50,,0.7789124608,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/27,,,,1320
IN625,PBF,SLM,225,1940,133,60,133,758.1,1.5,0.4511278195,5.7,0.1159793814,21.9,40,50,,0.7847316435,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/28,,,,1320
IN625,PBF,SLM,225,1940,88,60,132,752.4,1.5,0.4545454545,5.7,0.1159793814,32.8,40,50,,0.7731149314,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/29,,,,1320
IN625,PBF,SLM,225,1940,75,60,132,752.4,1.5,0.4545454545,5.7,0.1159793814,38.5,40,50,,0.7731149314,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/30,,,,1320
IN625,PBF,SLM,225,1940,66,60,132,752.4,1.5,0.4545454545,5.7,0.1159793814,43.7,40,50,,0.7731149314,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/31,,,,1320
IN625,PBF,SLM,225,1940,53,60,132.5,755.25,1.5,0.4528301887,5.7,0.1159793814,54.6,40,50,,0.7789124608,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/32,,,,1320
IN625,PBF,SLM,225,1940,44,60,132,752.4,1.5,0.4545454545,5.7,0.1159793814,65.6,40,50,,0.7731149314,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/33,,,,1320
IN625,PBF,SLM,350,1680,347,80,173.5,936.9,2,0.4610951009,5.4,0.2083333333,15,40,50,,0.7413963576,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/34,,,,1320
IN625,PBF,SLM,350,1680,173,80,173,934.2,2,0.4624277457,5.4,0.2083333333,30,40,50,,0.7371743539,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/35,,,,1320
IN625,PBF,SLM,350,1680,116,80,174,939.6,2,0.4597701149,5.4,0.2083333333,45,40,50,,0.7456304158,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/36,,,,1320
IN625,PBF,SLM,350,1680,99,80,174.24,940.896,2,0.4591368228,5.4,0.2083333333,52.8,40,50,,0.7476670454,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/37,,,,1320
IN625,PBF,SLM,350,1680,87,80,174,939.6,2,0.4597701149,5.4,0.2083333333,60,40,50,,0.7456304158,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/38,,,,1320
IN625,PBF,SLM,350,1680,69,80,172.5,931.5,2,0.4637681159,5.4,0.2083333333,75.1,40,50,,0.7329644046,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/39,,,,1320
IN625,PBF,SLM,350,1680,58,80,174,939.6,2,0.4597701149,5.4,0.2083333333,90.1,40,50,,0.7456304158,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/40,,,,1320
IN625,PBF,SLM,350,1180,388,98,194,970,2.45,0.5051546392,5,0.2966101695,19.1,40,50,,0.6548296399,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/41,,,,1320
IN625,PBF,SLM,350,1180,194,98,194,970,2.45,0.5051546392,5,0.2966101695,38.2,40,50,,0.6548296399,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/42,,,,1320
IN625,PBF,SLM,350,1180,129,98,193.5,967.5,2.45,0.5064599483,5,0.2966101695,57.4,40,50,,0.6515036097,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/43,,,,1320
IN625,PBF,SLM,350,1180,110,98,193.6,968,2.45,0.5061983471,5,0.2966101695,67.3,40,50,,0.6521681384,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/44,,,,1320
IN625,PBF,SLM,350,1180,97,98,194,970,2.45,0.5051546392,5,0.2966101695,76.5,40,50,,0.6548296399,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/45,,,,1320
IN625,PBF,SLM,350,1180,78,98,195,975,2.45,0.5025641026,5,0.2966101695,95.6,40,50,,0.6615071007,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/46,,,,1320
IN625,PBF,SLM,350,1180,65,98,195,975,2.45,0.5025641026,5,0.2966101695,114.7,40,50,,0.6615071007,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/47,,,,1320
IN625,PBF,SLM,345,1060,429,100,214.5,965.25,2.5,0.4662004662,4.5,0.3254716981,19,40,50,,0.7296783491,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/48,,,,1320
