material,density_g_cm_3,density_kg_m_3,specific_heat_capacity_j_kg_k,thermal_conductivity_w_m_k,thermal_diffusivity_mm_2_s,data_link,absorptivity,absorptivity_data_link,melting_temperature,weight_percent_Y,weight_percent_Zn,weight_percent_Mg,weight_percent_Si,weight_percent_Al,weight_percent_Sn,weight_percent_Zr,weight_percent_W,weight_percent_Ti,weight_percent_V,weight_percent_Co,weight_percent_Cu,weight_percent_Ta,weight_percent_Nb,weight_percent_Ni,weight_percent_Cr,weight_percent_Fe,weight_percent_Mn,weight_percent_Mo,weight_percent_C,weight_percent_B,notes
Invar36,8.1,8100,510,12.8,0.805925926,https://www.azom.com/properties.aspx?ArticleID=515,0.6,https://pdf.sciencedirectassets.com/306190/1-s2.0-S2214860420X00066/1-s2.0-S2214860420310551/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEP3%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJIMEYCIQCOs3kssTf%2F6uX7GLRswSd8tnoJ%2BWZmrW6ctlkrsF8lMwIhAKSrgwNSENFtbtR3dIUKJ6kJB5H%2FKdldWKYjVgGIjzyfKrIFCDYQBRoMMDU5MDAzNTQ2ODY1IgyccF4%2FF%2F010wEXfC4qjwV0ypTb2lwlJCNbHIQXDDgH5cmftcNx4TIwtoalXG7SYNObFUxGsFFVlbIXK%2FuAUiVAOXSQ0NdJ%2BLUp0nGqOOHEsAr2l77qvt5iMQjZRjYUASjI%2FokPBuka%2F8ARxTb4Jy8z8KMIIsyw%2BZnRPoAgH3XIzmUaBH1OWFdTQ6kFPZ%2BZ2fpORzz4sR%2BlejkIGBlrJaStR%2BWnOdn22hrfZ1TBrMC2lv2%2F%2FEWQ6I1LVSo%2BXnpZ9aalHdbWnF68V00wY4J6CegDM8Uz5Ok5vp0Fgt6gPdd1xxLRmFMbUoHvQSBiuRODSpShFbZ5j0Vi6H1Cu0nu0G7tIcFLHp3kqEnwpOCmaPNpmisGNlZ2bdaft5aMPCeEW7CAe%2FL78AsOalKUh%2FjaYTVHdCwqCWzx5A40yOQuFtmUAEPC8EclZ%2FJr6mVMdda101lK2l4b03iDBDiJ5HJO2ktHyLGbxd7MPPpVCxWeCaXozya0bQNFHg08YSQJtmNztphpJ%2B61PP9j7R1qZCfawj%2FOGOFYSMhvWKApX1rAJRoDQbtdp2kvzmGl2W9MX%2FJAvlBpYfypbbod%2FalaPu0iykT2k%2FzjjUGZ9DzIKietacsMsjwpmAlWd7fXocX%2Bc2PDzR9YcDbtPSkDBHYMlYzpBnP%2F7Xt1c%2BHt%2BTUaJMP0odc1YXx3y%2B3QEJdk%2Fb9cJq4N1hDrBvaX795ggQQ%2Fe%2FIbzRHRSUtazG58sdrfc8rNQxLcWADuZza%2BocvElNyIU2CIR4BIGf8yVyZDz81qbR4hDKfi7RjFpBQ%2BFsnyymQMV3XLWXZguuFghyk5fDh054HUCd4i9SbrUB5z9UU9mVZ8cHzZ0P1xnWV6Los9G5k%2BEKM1oDdDQGeOBPLpeiLBHPCfMO7727AGOrABAPfSsw56xf3DSQscyswTNpQKUoYt2V1PQcNbh7hTdwTGwtXdUGTO0%2By24f%2Flj0fT44g8hxXN9zXPBS2tOShgNSgttRFX4lxqg%2B5OWzW2R8K%2By8s3pTiJDlUCUf2J47BqZ9mlNfdFFBQuAXslfr%2Bdyg5RtJKWFMBW6vB6iopaMueU2SPpDAAhINgyYFSrBm%2F5ldfE5CGXkkXbZfDKpe26Z2tfgVUKk3I%2BwxUSBxwJXgM%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20240410T215840Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTY3HQIVDED%2F20240410%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=016195102ebc43f7a1b9a06ee9002a5ffe794ac7383edc4884cc41cdd31dad5d&hash=c80fe19efd57a6719cf41c0c8f6dd4b5810ad7e2b4a5ff276662b04fa40ee5ec&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S2214860420310551&tid=spdf-f24b215f-66a1-4905-be97-dc7558c81f4b&sid=af917460814d0640f1589bf137ba1912dc3dgxrqa&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=1315585653540908015c&rr=8725ffe8bc2b5796&cc=us,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,64,0,0,0,0,
K403 superalloy,8.87,8870,440,14.27,0.707869222,https://docs.google.com/spreadsheets/d/1-7qeM6nFw5OWYU1zaWsKMW0z2DosJmXhiu_FrbiYHDU/edit#gid=0,0.3,,1623,0,0,0,0,5.32,0,0.06,5.17,2.16,0,5.41,0,0,0,,11.32,,,4.24,0.14,0.017,"absorptivity estimated, specific heat capacity estimated"
MS1-,8.1,8100,450,15,0.833333333,https://www.matweb.com/search/DataSheet.aspx?MatGUID=e9f7cb19eb81450d8f67966151bd1802,0.3,,1673,0,0,0,0,0.15,0,0,0,0.8,0,9,0,0,0,18,0,65,0,5,0,0,absorptivity estimated
SS17-4PH,7.78,7780,460,17,1.005141388,https://www.techsteel.net/alloy/stainless-steel/17-4ph,0.25,,1673,0,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,0,0,absorptivity estimated
SS304,8,8000,500,16.2,1.0125,https://www.matweb.com/search/DataSheet.aspx?MatGUID=abc4415b0f8b490387e3c922237098da,0.26,https://iopscience.iop.org/article/10.1088/1361-6463/ab2415,1673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,70,2,0,0,0,
SS304L,7.9,7900,500,16.3,1.03164557,https://www.sandmeyersteel.com/images/Alloy304-304L-APR2013.pdf,0.2,https://www.scientific.net/AMR.472-475.2531,1673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,70,2,0,0,0,
SS316L,8.03,8030,500,16.2,1.00871731,https://www.matweb.com/search/DataSheet.aspx?MatGUID=a2d0107bf958442e9f8db6dc9933fe31,0.33,https://www.osti.gov/servlets/purl/1569671,1673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,0,0,
Ti-45Al,3720,3720,600,15,2.419354839,https://docs.google.com/spreadsheets/d/1-7qeM6nFw5OWYU1zaWsKMW0z2DosJmXhiu_FrbiYHDU/edit#gid=1198355259,0.2,https://www.sciencedirect.com/science/article/pii/S0169433218303222,,0,0,0,0,45,0,0,0,48,0,0,0,0,5,0,2,0,0,0,0,0,thermal conductivity estimated
Ti-49Al-2Cr-2Nb,3.9,3900,610,10.5,1.642307692,https://link.springer.com/article/10.1007/s12540-020-00770-1,,,1776,0,0,0,0,49,0,0,0,47,0,0,0,0,2,0,2,0,0,0,0,0,
Ti-6Al-4V,4.43,4430,526.3,6.7,0.795984199,https://asm.matweb.com/search/SpecificMaterial.asp?bassnum=mtp641,0.27,"https://www.sciencedirect.com/science/article/pii/S0030399223001408#:~:text=Absorptivity%20of%20Ti%2D6Al%2D4V%20determined%20to%20be%200.27%20%2B%2F%2D,energy%20transfer%20in%20keyhole%20mode.",1973,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,0,0,
Ti6242,4.54,4540,460,7.1,0.71938326,https://www.matweb.com/search/datasheet_print.aspx?matguid=66f20965748441d8916768ed80be0cba,0.26,https://repositories.lib.utexas.edu/server/api/core/bitstreams/66e1fd99-2a39-411d-9b3d-cf168888fba7/content,,0,0,0,0,6,2,4,0,82,0,0,0,0,0,0,0,0,0,2,0,0,
TiC/Inconel 718,7.3775,7377.5,407.25,13.25,0.731421552,https://www.sciencedirect.com/science/article/abs/pii/S0030399215307349,0.178,https://www.sciencedirect.com/science/article/abs/pii/S0030399215307349,2015,0,0,0,0,0.3,0,0,0,0.9,0,0,0,0,5.1,52,18.4,17.7,0,4.2,0,0,
Tungsten,19.3,19300,134,163.3,1.133792746,https://www.matweb.com/search/DataSheet.aspx?MatGUID=41e0851d2f3c417ba69ea0188fa570e3,0.3,https://www.sciencedirect.com/science/article/pii/S0920379617304283#sec0035,3695,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,
WE43,1.84,1840,1000,51.3,27.88043478,https://www.matweb.com/search/datasheet.aspx?matguid=4b8a8c13cf354fc5893a40cf8eca022c&n=1,0.3,,913,4.3,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
